2024-01-25 10:52:00.977 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0141 ms
2024-01-25 10:52:00.981 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 1.1444 ms
2024-01-25 10:52:31.980 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0288 ms
2024-01-25 10:52:31.994 +07:00 [INF] HTTP GET /api/account responded 200 in 2.2982 ms
2024-01-25 10:52:33.601 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0419 ms
2024-01-25 10:52:33.609 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.7345 ms
2024-01-25 10:52:38.981 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0232 ms
2024-01-25 10:52:38.998 +07:00 [INF] HTTP GET /api/account responded 200 in 1.5020 ms
2024-01-25 10:52:40.612 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0367 ms
2024-01-25 10:52:40.618 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.4756 ms
2024-01-25 10:52:42.062 +07:00 [INF] HTTP GET /api/account responded 200 in 1.0663 ms
2024-01-25 10:52:43.096 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8889 ms
2024-01-25 10:53:56.886 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0593 ms
2024-01-25 10:53:56.897 +07:00 [INF] HTTP GET /api/account responded 200 in 1.8536 ms
2024-01-25 10:53:57.936 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0337 ms
2024-01-25 10:53:57.940 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 1.0853 ms
2024-01-25 10:54:05.890 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0560 ms
2024-01-25 10:54:05.902 +07:00 [INF] HTTP GET /api/account responded 200 in 1.9164 ms
2024-01-25 10:54:07.598 +07:00 [INF] HTTP OPTIONS /api/profiles/bob responded 204 in 0.0283 ms
2024-01-25 10:54:07.603 +07:00 [INF] HTTP GET /api/profiles/bob responded 200 in 0.8151 ms
2024-01-25 10:54:09.784 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0159 ms
2024-01-25 10:54:09.788 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 1.3802 ms
2024-01-25 10:54:12.859 +07:00 [INF] HTTP OPTIONS /api/Following/bob responded 204 in 0.0135 ms
2024-01-25 10:54:12.863 +07:00 [INF] HTTP GET /api/Following/bob responded 200 in 1.0048 ms
2024-01-25 10:54:20.497 +07:00 [INF] HTTP OPTIONS /api/account responded 204 in 0.0466 ms
2024-01-25 10:54:20.514 +07:00 [INF] HTTP GET /api/account responded 200 in 1.8031 ms
